"","Bonifazius Türme","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Gesamtergebnis"
"17:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"18:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"18:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"18:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"18:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"19:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"19:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"19:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"19:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"20:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"20:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"20:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"20:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"21:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"21:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"21:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"21:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"22:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"22:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"22:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"22:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"23:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"23:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"23:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"23:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"02.01.2015","450","358","970","437","1.957","144","530","497","456","420","692","577","4.309","303","12.100"
"00:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
