"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinallee","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"16:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"16:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"17:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"17:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"17:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"17:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"18:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"18:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"18:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"18:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"19:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"19:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"19:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"19:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"20:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"20:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"20:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"20:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"21:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"21:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"21:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"21:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"22:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"22:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"22:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"22:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"23:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"23:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"23:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"23:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"02.01.2018","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
